CustomerID,Recency,Frequency,Monetary,AvgOrderValue,UniqueProducts,TotalItems,IsUK,Churned,ChurnProbability,ChurnRiskTier,Segment,RFM_Total
12346,236,1,77183.6,77183.6,1,74215,1,1,63.4,Medium Risk,Hibernating,7
12347,40,5,2790.86,22.50693548387097,82,1590,0,0,30.1,Low Risk,Champions,15
12348,159,3,1167.24,46.6896,21,2116,0,0,58.0,Medium Risk,At Risk,10
12350,220,1,294.4,18.4,16,196,0,1,69.9,Medium Risk,Lost,4
12352,172,4,641.51,19.439696969696968,24,249,0,0,59.3,Medium Risk,Loyal Customers,12
12353,114,1,89.0,22.25,4,20,0,1,54.8,Medium Risk,Lost,3
12354,142,1,1079.4,18.610344827586207,58,530,0,1,52.8,Medium Risk,Hibernating,6
12355,124,1,459.4,35.33846153846154,13,240,0,1,55.3,Medium Risk,Lost,4
12356,156,2,2429.08,43.37642857142857,52,1568,0,0,54.6,Medium Risk,Loyal Customers,12
12358,61,1,404.86,36.805454545454545,11,98,0,0,45.1,Low Risk,Recent Customers,11
12359,100,3,3495.73,24.445664335664336,135,965,0,0,34.9,Low Risk,Loyal Customers,12
12360,23,2,1378.28,18.88054794520548,62,668,0,0,32.3,Low Risk,Loyal Customers,11
12361,197,1,174.9,19.433333333333334,9,90,0,1,67.3,Medium Risk,Lost,3
12362,30,4,1582.35,15.666831683168317,88,977,0,0,29.1,Low Risk,Champions,15
12363,20,2,552.0,24.0,23,408,0,1,36.2,Low Risk,Hibernating,7
12364,22,1,578.92,17.543030303030303,33,552,0,0,36.2,Low Risk,Champions,13
12365,201,1,320.69,15.27095238095238,21,173,0,1,66.6,Medium Risk,Lost,4
12370,185,3,2686.41,19.46673913043478,124,1970,0,0,49.9,Low Risk,Loyal Customers,12
12372,123,2,842.92,22.78162162162162,31,588,0,0,52.0,Medium Risk,Loyal Customers,10
12373,221,1,324.6,24.96923076923077,13,196,0,1,70.3,Medium Risk,Lost,4
12375,8,1,190.3,19.03,10,86,0,0,36.7,Low Risk,Recent Customers,9
12377,225,2,1548.12,20.369999999999997,71,942,0,1,63.8,Medium Risk,Hibernating,7
12378,40,1,4008.62,18.30420091324201,219,2529,0,1,20.3,Safe,Hibernating,8
12379,80,1,414.84,21.833684210526314,19,208,0,0,47.3,Low Risk,Hibernating,7
12380,96,1,562.55,16.072857142857142,35,290,0,0,48.0,Low Risk,Champions,13
12381,30,1,1028.74,16.864590163934427,61,562,0,0,34.3,Low Risk,Loyal Customers,12
12383,95,5,1628.56,17.325106382978724,83,1518,0,1,38.5,Low Risk,At Risk,9
12384,32,1,212.69,16.36076923076923,13,60,0,0,40.2,Low Risk,Recent Customers,8
12386,248,2,401.9,40.19,10,354,0,1,73.5,Medium Risk,Lost,5
12388,58,4,1668.34,23.83342857142857,50,760,0,0,37.3,Low Risk,Champions,14
12393,156,3,1061.1,27.207692307692305,33,522,0,0,56.4,Medium Risk,Loyal Customers,11
12394,127,1,351.08,17.554,20,180,0,0,55.0,Medium Risk,Potential Loyalists,9
12395,22,8,1674.57,19.029204545454544,64,1615,0,0,27.4,Low Risk,Champions,14
12397,45,1,1109.81,16.084202898550725,69,697,0,0,35.7,Low Risk,Potential Loyalists,10
12399,29,4,1033.65,18.793636363636367,46,1173,0,1,33.3,Low Risk,At Risk,10
12401,213,1,69.3,17.325,4,10,0,1,70.1,Medium Risk,Lost,3
12402,233,1,195.6,19.56,10,92,0,1,72.3,Medium Risk,Lost,3
12405,59,1,1390.3899999999999,26.23377358490566,53,849,0,1,39.6,Low Risk,Hibernating,7
12406,94,1,1621.25,33.08673469387755,48,793,0,0,45.9,Low Risk,Recent Customers,11
12407,44,4,1242.36,20.706,49,1226,0,0,35.2,Low Risk,Loyal Customers,11
12408,9,4,1939.05,24.54493670886076,66,1031,0,0,28.3,Low Risk,Champions,13
12409,93,1,6207.08,96.985625,64,3142,0,0,42.7,Low Risk,At Risk,10
12410,219,2,533.33,21.3332,25,207,0,1,68.0,Medium Risk,Hibernating,6
12412,48,2,836.74,19.45906976744186,33,596,0,0,39.4,Low Risk,At Risk,9
12413,146,2,509.9,18.885185185185183,24,202,0,0,56.8,Medium Risk,Loyal Customers,9
12414,127,3,442.41,29.494000000000003,15,297,0,1,53.8,Medium Risk,Hibernating,6
12415,9,14,101737.88,169.84621035058433,381,66700,0,0,2.1,Safe,Champions,14
12417,17,7,2483.52,17.613617021276596,131,1210,0,0,21.5,Safe,Champions,15
12418,23,1,668.58,19.664117647058823,34,407,0,1,36.3,Low Risk,Hibernating,6
12421,25,3,488.56,14.804848484848485,24,402,0,0,36.1,Low Risk,Loyal Customers,11
12422,6,3,683.56,17.988421052631576,38,367,0,1,31.7,Low Risk,At Risk,8
12423,11,7,1440.67,14.264059405940595,85,1122,0,0,24.8,Safe,Champions,14
12424,73,2,1760.96,58.69866666666667,30,740,0,1,43.7,Low Risk,Hibernating,8
12426,105,1,510.73,17.611379310344827,29,254,0,1,50.2,Medium Risk,Hibernating,5
12427,282,1,249.5,27.72222222222222,9,76,0,0,78.4,High Risk,Loyal Customers,10
12428,30,7,6076.92,22.25978021978022,250,3361,0,0,14.1,Safe,Champions,14
12429,83,3,2482.88,37.057910447761195,61,1026,0,0,40.7,Low Risk,Champions,14
12431,29,11,4799.57,26.08461956521739,133,2103,0,0,20.1,Safe,Loyal Customers,13
12432,82,2,3316.66,44.22213333333333,74,1426,0,0,39.7,Low Risk,Loyal Customers,12
12433,1,3,6395.23,28.04925438596491,151,5431,0,0,19.6,Safe,Champions,15
12434,170,1,286.25,17.890625,16,77,0,0,62.4,Medium Risk,Hibernating,7
12435,178,1,3978.99,209.42052631578946,19,879,0,0,62.7,Medium Risk,Hibernating,9
12436,10,1,429.01,28.600666666666665,15,209,0,1,36.4,Low Risk,Lost,5
12437,8,11,2505.41,26.939892473118277,62,1780,0,0,23.7,Safe,Champions,15
12438,50,1,770.0699999999999,16.043125,48,583,0,0,38.9,Low Risk,Recent Customers,11
12441,277,1,155.55,15.555000000000001,10,120,0,1,77.8,High Risk,Lost,3
12444,32,2,2347.27,22.569903846153846,95,643,0,0,30.1,Low Risk,Champions,13
12447,153,1,431.49,17.2596,25,187,0,1,58.7,Medium Risk,Lost,4
12449,2,3,2379.58,18.446356589147285,83,1006,0,0,26.4,Low Risk,Champions,13
12450,66,2,197.88,24.735,7,128,0,1,45.5,Low Risk,Lost,5
12451,128,2,5307.82,27.219589743589744,162,4105,0,0,36.3,Low Risk,Champions,14
12453,44,1,707.09,16.443953488372095,43,473,0,1,38.5,Low Risk,Hibernating,6
12455,38,4,2077.36,31.00537313432836,66,1762,0,0,32.3,Low Risk,At Risk,11
12456,41,2,1825.3999999999999,21.73095238095238,76,1062,0,0,33.4,Low Risk,Loyal Customers,11
12457,144,3,907.25,39.44565217391305,22,393,0,0,55.7,Medium Risk,Loyal Customers,12
12458,195,1,361.91999999999996,20.106666666666666,18,268,0,0,66.0,Medium Risk,Potential Loyalists,8
12461,65,1,626.88,18.43764705882353,34,282,0,1,43.0,Low Risk,Hibernating,6
12462,213,1,594.11,15.233589743589745,39,281,0,0,66.4,Medium Risk,Recent Customers,10
12463,85,3,877.79,15.134310344827586,50,571,0,0,42.6,Low Risk,Loyal Customers,11
12464,16,6,615.55,38.471875,5,70,0,0,34.4,Low Risk,Champions,14
12465,79,1,410.94,16.4376,25,292,0,0,46.4,Low Risk,Recent Customers,9
12468,98,2,657.54,18.265,35,362,0,1,47.4,Low Risk,Hibernating,6
12471,17,17,9700.4,38.647011952191235,106,4274,0,0,16.9,Safe,Champions,15
12472,49,5,4549.6,18.645901639344263,179,3067,0,0,22.0,Safe,Champions,14
