YearMonth,Year,Month,OrderCount,ActiveCustomers,TotalRevenue,UnitsSold,UKRevenue,IntlRevenue
2010-12,2010,12,1396,885,568055.72,311850,498418.68,69637.04
2011-01,2011,1,984,739,564241.64,348808,442095.66,122145.98
2011-02,2011,2,992,757,443546.02,265384,355550.99,87995.03
2011-03,2011,3,1312,973,585262.85,348178,466901.52,118361.33
2011-04,2011,4,1140,853,455681.91,291981,406895.58,48786.33
2011-05,2011,5,1545,1055,660932.9,373336,543041.56,117891.34
2011-06,2011,6,1390,990,654932.56,363421,524142.35,130790.21
2011-07,2011,7,1321,946,593231.9,369123,484339.76,108892.14
2011-08,2011,8,1268,933,637157.24,397854,495342.66,141814.58
2011-09,2011,9,1742,1261,941830.81,544091,791586.2,150244.61
2011-10,2011,10,1905,1361,1006372.9,592307,815333.05,191039.85
2011-11,2011,11,2644,1661,1143275.77,664697,973507.41,169768.36
2011-12,2011,12,777,615,513395.43,286470,470346.81,43048.62
