CustomerID,Country,IsUK,CohortMonth,TotalOrders,TotalRevenue,AvgOrderValue,FirstPurchase,LastPurchase,DaysSinceLastPurchase,ActiveMonths
12346,United Kingdom,1,2011-01,1,77183.6,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,324,1
12347,Iceland,0,2010-12,7,4310.0,23.68,2010-12-07 14:57:00,2011-12-07 15:52:00,1,7
12348,Finland,0,2010-12,4,1437.24,53.23,2010-12-16 19:09:00,2011-09-25 13:13:00,74,4
12349,Italy,0,2011-11,1,1457.55,20.24,2011-11-21 09:51:00,2011-11-21 09:51:00,17,1
12350,Norway,0,2011-02,1,294.4,18.4,2011-02-02 16:01:00,2011-02-02 16:01:00,309,1
12352,Norway,0,2011-02,7,1385.74,18.0,2011-02-16 12:33:00,2011-11-03 14:37:00,35,4
12353,Bahrain,0,2011-05,1,89.0,22.25,2011-05-19 17:47:00,2011-05-19 17:47:00,203,1
12354,Spain,0,2011-04,1,1079.4,18.61,2011-04-21 13:11:00,2011-04-21 13:11:00,231,1
12355,Bahrain,0,2011-05,1,459.4,35.34,2011-05-09 13:49:00,2011-05-09 13:49:00,213,1
12356,Portugal,0,2011-01,3,2487.43,42.89,2011-01-18 09:50:00,2011-11-17 08:40:00,21,3
12357,Switzerland,0,2011-11,1,6207.67,47.39,2011-11-06 16:07:00,2011-11-06 16:07:00,32,1
12358,Austria,0,2011-07,2,928.06,54.59,2011-07-12 10:04:00,2011-12-08 10:26:00,0,2
12359,Cyprus,0,2011-01,4,6372.58,25.7,2011-01-12 12:43:00,2011-10-13 12:47:00,56,4
12360,Austria,0,2011-05,3,2302.06,18.27,2011-05-23 09:43:00,2011-10-18 15:22:00,51,3
12361,Belgium,0,2011-02,1,174.9,19.43,2011-02-25 13:51:00,2011-02-25 13:51:00,286,1
12362,Belgium,0,2011-02,10,4737.23,18.5,2011-02-17 10:30:00,2011-12-06 15:40:00,2,8
12363,Unspecified,0,2011-04,2,552.0,24.0,2011-04-11 13:29:00,2011-08-22 10:18:00,108,2
12364,Belgium,0,2011-08,4,1208.1,14.91,2011-08-19 15:24:00,2011-12-02 10:22:00,6,4
12365,Cyprus,0,2011-02,1,320.69,15.27,2011-02-21 13:51:00,2011-02-21 13:51:00,290,1
12367,Denmark,0,2011-12,1,150.9,15.09,2011-12-05 16:48:00,2011-12-05 16:48:00,3,1
12370,Austria,0,2010-12,1,157.2,22.46,2010-12-17 09:38:00,2010-12-17 09:38:00,356,1
12370,Cyprus,0,2010-12,3,3268.49,20.56,2010-12-14 12:58:00,2011-10-19 14:51:00,50,3
12371,Switzerland,0,2011-10,1,1527.96,24.64,2011-10-11 10:43:00,2011-10-11 10:43:00,58,1
12372,Denmark,0,2011-02,3,1196.04,24.41,2011-02-16 12:46:00,2011-09-29 12:12:00,70,3
12373,Austria,0,2011-02,1,324.6,24.97,2011-02-01 13:10:00,2011-02-01 13:10:00,310,1
12374,Austria,0,2011-11,1,622.93,19.47,2011-11-14 15:37:00,2011-11-14 15:37:00,24,1
12375,Finland,0,2011-09,2,377.5,25.17,2011-09-02 14:23:00,2011-11-29 10:36:00,9,2
12377,Switzerland,0,2010-12,2,1548.12,20.37,2010-12-20 09:37:00,2011-01-28 15:45:00,314,2
12378,Switzerland,0,2011-08,1,4008.62,18.3,2011-08-02 10:34:00,2011-08-02 10:34:00,128,1
12379,Belgium,0,2011-06,2,777.24,20.45,2011-06-22 16:32:00,2011-09-19 10:09:00,80,2
12380,Belgium,0,2011-06,4,2427.81,24.28,2011-06-07 09:49:00,2011-11-18 11:27:00,20,4
12381,Norway,0,2011-08,3,1474.81,17.99,2011-08-12 09:57:00,2011-12-05 12:44:00,3,3
12383,Belgium,0,2010-12,5,1628.56,17.33,2010-12-22 14:28:00,2011-06-08 08:02:00,183,5
12384,Switzerland,0,2011-08,2,425.27,17.01,2011-08-10 11:23:00,2011-11-11 08:39:00,27,2
12386,Australia,0,2010-12,2,401.9,40.19,2010-12-08 09:53:00,2011-01-06 12:37:00,336,2
12388,Australia,0,2011-01,6,2780.66,27.81,2011-01-17 11:12:00,2011-11-24 12:30:00,14,6
12390,Belgium,0,2011-09,1,504.84,16.29,2011-09-21 09:33:00,2011-09-21 09:33:00,78,1
12391,Cyprus,0,2011-11,1,460.89,4.61,2011-11-18 12:07:00,2011-11-18 12:07:00,20,1
12393,Australia,0,2011-01,4,1582.6,24.73,2011-01-11 09:47:00,2011-09-28 15:41:00,71,3
12394,Belgium,0,2011-05,1,351.08,17.55,2011-05-06 14:01:00,2011-05-06 14:01:00,216,1
12394,Denmark,0,2011-05,1,729.4,145.88,2011-10-07 08:08:00,2011-10-07 08:08:00,62,1
12395,Belgium,0,2010-12,12,2682.63,18.63,2010-12-03 16:35:00,2011-11-20 15:21:00,18,8
12397,Belgium,0,2011-07,2,2214.9,17.86,2011-07-27 14:21:00,2011-11-04 09:52:00,34,2
12398,Switzerland,0,2011-10,1,1435.66,17.09,2011-10-25 10:27:00,2011-10-25 10:27:00,44,1
12399,Belgium,0,2011-03,4,1033.65,18.79,2011-03-23 09:42:00,2011-08-12 13:15:00,118,4
12401,Belgium,0,2011-02,1,69.3,17.33,2011-02-09 13:50:00,2011-02-09 13:50:00,302,1
12402,Belgium,0,2011-01,1,195.6,19.56,2011-01-20 13:49:00,2011-01-20 13:49:00,322,1
12403,Denmark,0,2011-10,1,391.7,97.93,2011-10-21 10:51:00,2011-10-21 10:51:00,48,1
12405,Finland,0,2011-07,1,1390.39,26.23,2011-07-14 08:52:00,2011-07-14 08:52:00,147,1
12406,Denmark,0,2011-06,2,3415.3,32.53,2011-06-09 10:23:00,2011-11-17 19:22:00,21,2
12407,Belgium,0,2011-03,5,1507.12,20.93,2011-03-20 13:21:00,2011-10-21 10:11:00,48,4
12408,Belgium,0,2011-03,5,2618.55,25.93,2011-03-24 14:46:00,2011-11-07 12:27:00,31,4
12409,Switzerland,0,2011-06,3,11072.67,101.58,2011-06-10 12:19:00,2011-09-22 10:38:00,77,2
12410,Switzerland,0,2011-02,2,533.33,21.33,2011-02-04 10:38:00,2011-02-04 10:39:00,307,1
12412,Denmark,0,2011-06,3,1142.88,19.7,2011-06-23 13:51:00,2011-09-26 10:16:00,73,3
12413,France,0,2011-01,3,686.1,19.06,2011-01-06 16:12:00,2011-10-04 09:00:00,65,3
12414,Austria,0,2011-02,3,442.41,29.49,2011-02-02 14:51:00,2011-05-06 14:51:00,216,3
12415,Australia,0,2011-01,20,124564.53,174.7,2011-01-06 11:12:00,2011-11-15 14:22:00,23,10
12417,Belgium,0,2010-12,8,2873.8,17.85,2010-12-17 11:51:00,2011-12-06 14:52:00,2,7
12417,Spain,0,2010-12,1,352.3,16.01,2011-04-28 13:09:00,2011-04-28 13:09:00,224,1
12418,Switzerland,0,2011-08,1,668.58,19.66,2011-08-19 11:08:00,2011-08-19 11:08:00,111,1
12420,Cyprus,0,2011-10,1,600.39,20.7,2011-10-07 08:55:00,2011-10-07 08:55:00,62,1
12421,Spain,0,2011-01,4,639.04,15.59,2011-01-24 15:09:00,2011-11-24 09:07:00,14,4
12422,Australia,0,2011-01,2,386.2,18.39,2011-01-19 09:13:00,2011-09-05 09:48:00,94,2
12422,Switzerland,0,2011-01,1,297.36,17.49,2011-06-24 13:20:00,2011-06-24 13:20:00,167,1
12423,Belgium,0,2010-12,8,1634.31,13.97,2010-12-21 10:54:00,2011-12-09 10:10:00,0,8
12424,Australia,0,2011-06,2,1760.96,58.7,2011-06-30 12:06:00,2011-06-30 12:06:00,161,1
12425,Portugal,0,2011-09,1,777.2,21.59,2011-09-22 17:31:00,2011-09-22 17:31:00,77,1
12426,Germany,0,2011-05,1,510.73,17.61,2011-05-29 12:26:00,2011-05-29 12:26:00,193,1
12427,Germany,0,2010-12,3,699.8,24.99,2010-12-03 10:44:00,2011-11-18 08:56:00,20,3
12428,Finland,0,2011-03,8,6405.26,22.32,2011-03-01 09:33:00,2011-11-14 08:22:00,24,5
12429,Austria,0,2010-12,1,381.98,19.1,2011-04-26 11:44:00,2011-04-26 11:44:00,226,1
12429,Denmark,0,2010-12,3,3006.42,40.63,2010-12-09 12:05:00,2011-11-30 17:22:00,8,3
12430,Norway,0,2011-10,1,216.4,21.64,2011-10-27 15:09:00,2011-10-27 15:09:00,42,1
12431,Australia,0,2010-12,13,5514.67,30.47,2010-12-01 10:03:00,2011-11-04 11:55:00,34,8
12431,Belgium,0,2010-12,2,867.78,16.69,2011-02-17 08:23:00,2011-10-10 14:49:00,59,2
12432,Norway,0,2011-06,4,4359.32,40.74,2011-06-20 13:27:00,2011-10-28 11:43:00,41,2
12433,Norway,0,2010-12,7,13375.87,31.85,2010-12-01 13:24:00,2011-12-09 10:02:00,0,5
12434,Australia,0,2011-03,2,806.14,16.12,2011-03-24 13:05:00,2011-09-16 12:38:00,83,2
12435,Denmark,0,2011-03,2,7829.89,217.5,2011-03-17 07:40:00,2011-09-21 09:06:00,78,2
12436,Norway,0,2011-09,1,429.01,28.6,2011-09-01 12:09:00,2011-09-01 12:09:00,98,1
12437,France,0,2011-01,18,4447.41,24.17,2011-01-12 14:13:00,2011-12-08 11:35:00,0,10
12438,Norway,0,2011-07,2,2466.85,25.7,2011-07-22 13:29:00,2011-11-25 13:28:00,13,2
12441,France,0,2010-12,1,155.55,15.56,2010-12-08 10:45:00,2010-12-08 10:45:00,365,1
12442,Spain,0,2011-12,1,144.06,13.1,2011-12-06 14:22:00,2011-12-06 14:22:00,2,1
12444,Norway,0,2011-06,5,4085.46,23.75,2011-06-21 14:00:00,2011-11-18 13:23:00,20,5
12445,Spain,0,2011-11,1,77.4,25.8,2011-11-17 18:43:00,2011-11-17 18:43:00,21,1
12446,RSA,0,2011-10,1,1002.31,17.58,2011-10-13 12:50:00,2011-10-13 12:50:00,56,1
12447,Belgium,0,2011-04,1,431.49,17.26,2011-04-10 13:25:00,2011-04-10 13:25:00,242,1
12448,Spain,0,2011-10,1,365.45,17.4,2011-10-26 13:46:00,2011-10-26 13:46:00,43,1
12449,Belgium,0,2011-06,4,3596.29,19.23,2011-06-05 15:37:00,2011-11-17 13:46:00,21,4
12450,Spain,0,2011-06,2,197.88,24.74,2011-06-19 14:36:00,2011-07-06 14:41:00,155,2
12451,Switzerland,0,2011-01,5,8995.52,25.48,2011-01-19 09:05:00,2011-11-29 08:40:00,9,4
12452,Switzerland,0,2011-11,1,348.57,17.43,2011-11-23 08:05:00,2011-11-23 08:05:00,15,1
12453,Austria,0,2011-07,1,707.09,16.44,2011-07-28 14:08:00,2011-07-28 14:08:00,133,1
12454,Spain,0,2011-10,1,3528.34,235.22,2011-10-14 17:13:00,2011-10-14 17:13:00,55,1
12455,Cyprus,0,2011-02,1,1683.9,41.07,2011-02-16 09:56:00,2011-02-16 09:56:00,295,1
12455,Spain,0,2011-02,4,655.96,14.91,2011-06-03 11:33:00,2011-09-27 15:31:00,72,4
12456,Switzerland,0,2011-03,3,2581.04,21.16,2011-03-30 09:12:00,2011-10-26 14:41:00,43,3
12457,Cyprus,0,2011-04,2,392.7,196.35,2011-09-19 09:04:00,2011-10-04 13:13:00,65,2
12457,Switzerland,0,2011-04,4,1650.53,28.96,2011-04-14 18:57:00,2011-09-14 15:54:00,85,2
12458,Switzerland,0,2011-02,2,787.4,21.87,2011-02-28 10:55:00,2011-09-29 15:25:00,70,2
12461,Switzerland,0,2011-07,1,626.88,18.44,2011-07-08 10:23:00,2011-07-08 10:23:00,153,1
12462,Spain,0,2011-02,2,937.59,15.63,2011-02-09 14:44:00,2011-11-21 09:11:00,17,2
12463,Belgium,0,2011-04,4,1200.78,15.2,2011-04-12 12:47:00,2011-10-17 13:44:00,52,4
12464,Belgium,0,2011-02,8,957.05,43.5,2011-02-03 13:30:00,2011-11-29 13:33:00,9,5
12465,Belgium,0,2011-06,2,682.19,15.16,2011-06-23 13:37:00,2011-11-22 16:34:00,16,2
12468,Germany,0,2011-01,2,657.54,18.27,2011-01-27 13:29:00,2011-06-05 11:36:00,186,2
12471,Germany,0,2010-12,27,17424.05,39.69,2010-12-10 09:35:00,2011-12-07 15:43:00,1,12
12472,Germany,0,2010-12,7,6068.11,18.28,2010-12-05 14:19:00,2011-11-07 14:01:00,31,7
12473,Germany,0,2011-06,3,2596.23,16.13,2011-06-01 10:15:00,2011-10-17 11:27:00,52,3
12474,Germany,0,2011-01,18,6745.79,16.53,2011-01-14 10:06:00,2011-11-22 14:39:00,16,9
12475,Germany,0,2011-10,1,669.38,19.13,2011-10-17 10:10:00,2011-10-17 10:10:00,52,1
12476,Germany,0,2010-12,11,5898.42,26.33,2010-12-13 14:39:00,2011-11-24 12:40:00,14,9
12477,Germany,0,2011-02,6,13219.74,44.07,2011-02-11 12:45:00,2011-11-17 09:51:00,21,5
12478,Greece,0,2011-12,1,545.99,15.6,2011-12-06 09:56:00,2011-12-06 09:56:00,2,1
12479,Germany,0,2011-11,1,473.2,15.77,2011-11-28 13:26:00,2011-11-28 13:26:00,10,1
12480,Germany,0,2011-01,4,2885.63,19.24,2011-01-07 15:27:00,2011-11-11 14:52:00,27,4
12481,Germany,0,2010-12,10,5020.32,24.02,2010-12-09 10:13:00,2011-11-17 08:29:00,21,7
12483,Sweden,0,2011-01,8,1910.98,28.1,2011-01-04 14:20:00,2011-11-22 17:02:00,16,7
12484,Spain,0,2011-01,4,3953.72,11.56,2011-01-07 14:04:00,2011-11-04 15:18:00,34,4
12488,France,0,2011-09,3,1244.66,23.05,2011-09-25 10:34:00,2011-11-30 08:50:00,8,3
12489,France,0,2011-01,1,298.93,21.35,2011-01-07 13:13:00,2011-01-07 13:13:00,335,1
12490,France,0,2011-01,10,4859.93,20.68,2011-01-14 09:13:00,2011-12-04 16:07:00,4,8
12491,France,0,2011-11,1,424.4,16.98,2011-11-01 12:18:00,2011-11-01 12:18:00,37,1
12492,Germany,0,2011-08,2,227.21,12.62,2011-08-26 14:51:00,2011-10-07 15:15:00,62,2
12493,France,0,2011-05,2,415.74,19.8,2011-05-26 14:53:00,2011-06-27 10:17:00,164,2
12494,France,0,2010-12,7,1084.1,15.27,2010-12-09 11:31:00,2011-11-24 09:34:00,14,6
12497,Germany,0,2011-09,1,953.1,73.32,2011-09-19 12:29:00,2011-09-19 12:29:00,80,1
12498,Germany,0,2011-10,3,349.7,16.65,2011-10-13 09:30:00,2011-11-18 12:53:00,20,2
12500,Germany,0,2011-01,11,4059.82,78.07,2011-01-10 09:48:00,2011-11-16 16:20:00,22,7
12501,Germany,0,2011-01,1,2025.39,13.69,2011-01-07 12:28:00,2011-01-07 12:28:00,335,1
12502,Spain,0,2011-02,5,2995.87,21.1,2011-02-03 10:41:00,2011-09-05 11:52:00,94,5
12504,Germany,0,2011-11,2,428.05,53.51,2011-11-09 14:56:00,2011-11-21 16:02:00,17,1
12506,France,0,2011-04,1,73.5,3.2,2011-04-21 08:54:00,2011-04-21 08:54:00,231,1
12507,Spain,0,2011-02,3,1052.81,55.41,2011-02-14 09:24:00,2011-07-28 17:09:00,133,2
12508,France,0,2011-11,2,398.27,5.77,2011-11-10 16:27:00,2011-11-13 15:37:00,25,1
12509,France,0,2011-02,1,158.5,26.42,2011-02-28 14:45:00,2011-02-28 14:45:00,283,1
12510,Spain,0,2011-01,2,814.57,26.28,2011-01-18 14:04:00,2011-07-20 10:15:00,141,2
12512,Israel,0,2011-10,2,138.03,4.06,2011-10-04 14:53:00,2011-10-04 14:55:00,65,1
