ProductCategory,StockCode,Description,OrderCount,UnitsSold,TotalRevenue,AvgUnitPrice,UniqueCustomers
Uncategorised,23843,"PAPER CRAFT , LITTLE BIRDIE",1,80995,168469.6,2.08,1
Uncategorised,22423,REGENCY CAKESTAND 3 TIER,1703,12402,142592.95,12.48,881
Candles & Lighting,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1971,36725,100448.15,2.89,856
Bags & Accessories,85099B,JUMBO BAG RED RETROSPOT,1600,46181,85220.78,2.02,635
Kitchenware & Dining,23166,MEDIUM CERAMIC TOP STORAGE JAR,195,77916,81416.73,1.22,138
Home Décor,47566,PARTY BUNTING,1379,15291,68844.33,4.88,708
Uncategorised,84879,ASSORTED COLOUR BIRD ORNAMENT,1375,35362,56580.34,1.68,678
Candles & Lighting,23084,RABBIT NIGHT LIGHT,801,27202,51346.2,2.01,450
Candles & Lighting,79321,CHILLI LIGHTS,519,9650,46286.51,5.43,205
Christmas & Seasonal,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,980,15617,42660.83,2.94,613
Uncategorised,22502,PICNIC BASKET WICKER 60 PIECES,2,61,39619.5,649.5,1
Home Décor,21137,BLACK RECORD COVER FRAME,313,11406,39064.55,3.66,140
Bags & Accessories,22386,JUMBO BAG PINK POLKADOT,871,20165,37289.59,2.02,372
Home Décor,23284,DOORMAT KEEP CALM AND COME IN,648,5342,35913.85,7.91,378
Home Décor,23298,SPOTTY BUNTING,1003,7639,35539.25,4.92,571
Uncategorised,82484,WOOD BLACK BOARD ANT WHITE FINISH,604,5921,34478.01,7.46,285
Home Décor,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1146,7020,33347.8,4.95,640
Kitchenware & Dining,22960,JAM MAKING SET WITH JARS,878,8151,32662.97,4.18,573
Bags & Accessories,85099F,JUMBO BAG STRAWBERRY,654,16807,30644.2,2.01,315
Candles & Lighting,22178,VICTORIAN GLASS HANGING T-LIGHT,815,22433,28776.51,1.43,403
Uncategorised,22470,HEART OF WICKER LARGE,801,9591,28520.95,2.96,485
Uncategorised,22469,HEART OF WICKER SMALL,961,16775,28228.64,1.64,573
Bags & Accessories,20725,LUNCH BAG RED RETROSPOT,1288,17697,28048.45,1.66,532
Kitchenware & Dining,23245,SET OF 3 REGENCY CAKE TINS,718,5856,26625.68,4.93,472
Bags & Accessories,23199,JUMBO BAG APPLES,718,13887,26451.26,2.06,344
Home Décor,22727,ALARM CLOCK BAKELIKE RED ,877,7221,25925.2,3.77,388
Christmas & Seasonal,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,697,9433,25669.27,2.94,470
Home Décor,20685,DOORMAT RED RETROSPOT,576,3901,25397.85,7.76,329
Home Décor,21175,GIN + TONIC DIET METAL SIGN,655,11519,24988.98,2.46,330
Kitchenware & Dining,22699,ROSES REGENCY TEACUP AND SAUCER ,783,9132,24865.6,2.92,423
Uncategorised,22629,SPACEBOY LUNCH BOX ,704,13919,24694.59,1.93,322
Kitchenware & Dining,23355,HOT WATER BOTTLE KEEP CALM,719,5338,24426.3,4.87,474
Uncategorised,22457,NATURAL SLATE HEART CHALKBOARD ,967,8480,24245.52,2.98,587
Bags & Accessories,23201,JUMBO BAG ALPHABET,752,12540,24175.0,2.06,396
Home Décor,21181,PLEASE ONE PERSON METAL SIGN,694,11963,23930.92,2.07,361
Uncategorised,21915,RED  HARMONICA IN BOX ,561,20975,23793.93,1.26,349
Home Décor,48138,DOORMAT UNION FLAG,516,3625,23697.99,7.79,313
Bags & Accessories,85099C,JUMBO  BAG BAROQUE BLACK WHITE,649,12793,23675.04,2.01,306
Kitchenware & Dining,22112,CHOCOLATE HOT WATER BOTTLE,700,5160,23624.24,4.87,382
Uncategorised,22197,POPCORN HOLDER,632,30931,23427.71,0.84,295
Uncategorised,23173,REGENCY TEAPOT ROSES ,354,2666,23073.32,9.71,248
Uncategorised,22138,BAKING SET 9 PIECE RETROSPOT ,854,4797,23007.55,4.99,581
Home Décor,48187,DOORMAT NEW ENGLAND,531,3721,22968.25,7.82,314
Stationery & Cards,22189,CREAM HEART CARD HOLDER,452,8195,22715.57,3.88,274
Stationery & Cards,21623,VINTAGE UNION JACK MEMOBOARD,205,3255,22709.13,9.77,139
Candles & Lighting,21733,RED HANGING HEART T-LIGHT HOLDER,679,7759,22624.69,2.95,385
Uncategorised,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,595,8100,22175.52,2.94,281
Kitchenware & Dining,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,385,4663,22133.83,4.89,275
Bags & Accessories,21931,JUMBO STORAGE BAG SUKI,774,11516,21790.95,2.03,333
Home Décor,48185,DOORMAT FAIRY CAKE,241,3429,21187.69,7.91,143
Uncategorised,22961,JAM MAKING SET PRINTED,868,15055,21170.75,1.47,537
Bags & Accessories,23202,JUMBO BAG VINTAGE LEAF,772,10716,20963.93,2.08,377
Home Décor,21621,VINTAGE UNION JACK BUNTING,391,2540,20962.16,8.51,267
Home Décor,22726,ALARM CLOCK BAKELIKE GREEN,789,5641,20880.4,3.79,322
Home Décor,22666,RECIPE BOX PANTRY YELLOW DESIGN,828,7373,20859.27,2.96,471
Uncategorised,15056N,EDWARDIAN PARASOL NATURAL,378,3826,20696.71,5.86,184
Bags & Accessories,23203,JUMBO BAG VINTAGE DOILY ,621,10636,20674.68,2.06,363
Uncategorised,85066,CREAM SWEETHEART MINI CHEST,445,1705,20562.92,12.65,289
Home Décor,22722,SET OF 6 SPICE TINS PANTRY DESIGN,653,5372,20530.0,3.92,393
Uncategorised,22139,RETROSPOT TEA SET CERAMIC 11 PC ,823,4248,20470.78,5.0,488
Home Décor,21166,COOK WITH WINE METAL SIGN ,602,10209,20315.33,2.04,287
Stationery & Cards,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,790,10518,20174.23,2.04,375
Toys & Games,22630,DOLLY GIRL LUNCH BOX,616,11336,20129.44,1.95,287
Kitchenware & Dining,22111,SCOTTIE DOG HOT WATER BOTTLE,656,4259,20104.35,4.9,425
Home Décor,82482,WOODEN PICTURE FRAME WHITE FINISH,876,8276,20001.65,2.66,410
Home Décor,48194,DOORMAT HEARTS,480,3271,19948.81,7.95,286
Candles & Lighting,21731,RED TOADSTOOL LED NIGHT LIGHT,522,12871,19844.91,1.66,266
Uncategorised,22659,LUNCH BOX I LOVE LONDON,504,11094,19353.22,1.93,213
Home Décor,21523,DOORMAT FANCY FONT HOME SWEET HOME,397,3088,19157.02,7.87,203
